zip,density,median_income
11968,939.491386,54250
11787,1565.853733,58388
11946,1492.801725,44959
11963,1009.057879,48211
11725,1475.85959,60289
11754,1506.029926,48951
11780,757.598975,57354
11978,867.409601,42179
11767,2442.473533,52616
11942,911.6106,48100
11901,126.866095,33879
11976,516.850538,56658
11932,647.578748,67729
11964,329.829629,58520
11959,1183.544942,48068
11977,797.611878,50161
11768,168.75796,59298
11788,517.804565,51933
11960,1654.729259,62321
11965,317.469107,90581
11962,382.765724,70000
11972,712.984091,102375
11941,514.37447,52892
11755,155.862456,47107